pmid;pmcid;doi;publisher_id;journal;journal_domain;journal_field;journal_subfield;n_authors;is_plos;is_bmc;title;n_references_tot;n_references;has_das;das_encouraged;das_required;das;p_year;p_month;has_month;n_cit_2;n_cit_3;n_cit_5;n_cit_tot;h_index_min;h_index_max;h_index_mean;h_index_median;das_class;j_lower
27832118.0;5104443;10.1371/journal.pone.0165941;PONE-D-16-16487;PLoS ONE;General;General Science & Technology;General Science & Technology;3;True;False;A Data Driven Network Approach to Rank Countries Production Diversity and Food Specialization;35;19;True;True;True;All relevant data are available in a public repository: https://doi.org/10.5281/zenodo.153819.;2016;7;True;0;0;0;0;0.0;2.0;0.667;0.0;3;plos one
26437959.0;4594639;10.1186/s12862-015-0483-1;483;BMC Evolutionary Biology;Natural Sciences;Biology;Evolutionary Biology;6;False;True;The biogeographic origin of a radiation of trees in Madagascar: implications for the assembly of a tropical forest biome;70;53;True;True;True;The molecular data supporting the results of this article are available in Genbank (http://www.ncbi.nlm.nih.gov/genbank/), with NCBI gi numbers detailed in Additional file 1: A2 and A3. The phylogenetic data sets are available in the Zenodo repository (https://zenodo.org/, DOI10.5281/zenodo.31503).;2015;7;True;0;0;0;0;0.0;2.0;0.833;0.5;3;bmc evolutionary biology
26221951.0;4519181;10.1371/journal.pone.0133213;PONE-D-15-01256;PLoS ONE;General;General Science & Technology;General Science & Technology;2;True;False;Viability of Booby Offspring is Maximized by Having One Young Parent and One Old Parent;80;42;True;True;True;All relevant data are available on Zenodo at https://zenodo.org/record/19165.;2015;7;True;0;1;1;1;1.0;4.0;2.5;2.5;1;plos one
30153302.0;6112650;10.1371/journal.pone.0203115;PONE-D-17-38340;PLoS ONE;General;General Science & Technology;General Science & Technology;3;True;False;Unkept promises of cognitive styles: A new look at old measurements;67;13;True;True;True;All files are available from the ZENODO database: https://doi.org/10.5281/zenodo.1037934.;2018;7;True;0;0;0;0;0.0;2.0;1.3330000000000002;2.0;3;plos one
26599213.0;4658181;10.1371/journal.pcbi.1004627;PCOMPBIOL-D-15-01261;PLoS Computational Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;2;True;False;Red Queen Processes Drive Positive Selection on Major Histocompatibility Complex (MHC) Genes;29;16;True;True;True;"All data files, computer simulation outcome, are available from the Zenodo open digital repository (accession number 18898; http://dx.doi.org/10.5281/zenodo.18898).";2015;11;True;0;1;1;1;1.0;3.0;2.0;2.0;3;plos computational biology
30567491.0;6299935;10.1186/s12859-018-2486-6;2486;BMC Bioinformatics;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;3;False;True;iDEP: an integrated web application for differential expression and pathway analysis of RNA-Seq data;147;120;True;True;True;The iDEP software is available at http://ge-lab.org/idep/. Source code is available at https://github.com/iDEP-SDSU/idep/. Database files for running iDEP locally can be downloaded at 10.5281/zenodo.1451847.;2018;7;True;0;0;0;0;0.0;2.0;0.667;0.0;3;bmc bioinformatics
29941016.0;6019515;10.1186/s13071-018-2932-3;2932;Parasites & Vectors;Health Sciences;Biomedical Research;Mycology & Parasitology;8;False;True;Whole body transcriptomes and new insights into the biology of the tick Ixodes ricinus;51;43;True;True;True;Reads from sequencing the 15 libraries were deposited in the SRA section of NCBI under the BioProject ID: PRJNA395009. The contigs are available under accession GFVZ00000000 (NCBI, TSA). The annotation table was deposited on the Zenodo repository with a DOI (10.5281/zenodo.1137702), available on https://zenodo.org/record/1137702.;2018;6;True;0;0;0;0;0.0;4.0;1.75;1.5;3;parasites & vectors
27177143.0;4866742;10.1371/journal.pcbi.1004871;PCOMPBIOL-D-15-01996;PLoS Computational Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;3;True;False;Fast Bayesian Inference of Copy Number Variants using Hidden Markov Models with Wavelet Compression;95;61;True;True;True;The supplemental figures, our simulation data and results are available for download at https://zenodo.org/record/46263 (DOI: 10.5281/zenodo.46263) [94], and are referenced as S1–S7 throughout the text. Additionally, the figures can also be viewed through our website at http://schlieplab.org/Supplements/HaMMLET/ for convenience. The implementation of HaMMLET and scripts to reproduce the simulation and evaluation are available at https://github.com/wiedenhoeft/HaMMLET/tree/biorxiv, and a snapshot is archived at https://zenodo.org/record/46262 (DOI: 10.5281/zenodo.46262) [95]. The high-density aCGH data [68] is available from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23949 (accession GEO:GSE23949). Coriell etc. data [77] is available from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16 (accession GEO:GSE16). The simulations of [66] are available from the original authors’s website at http://www.cbs.dtu.dk/~hanni/aCGH/. Notice that due to the use of a random number generator by HaMMLET, CBS and our simulations, individual results will differ slightly from the data provided in the supplement.;2016;5;True;0;0;0;0;0.0;3.0;1.0;0.0;3;plos computational biology
26581104.0;4651369;10.1371/journal.pone.0141838;PONE-D-15-20079;PLoS ONE;General;General Science & Technology;General Science & Technology;17;True;False;Annual Acoustic Presence of Fin Whale (Balaenoptera physalus) Offshore Eastern Sicily, Central Mediterranean Sea;73;17;True;True;True;All relevant data are available via Zenodo (DOI: 10.5281/zenodo.31516).;2015;7;True;1;1;1;1;0.0;1.0;0.294;0.0;3;plos one
30550578.0;6294351;10.1371/journal.pone.0208988;PONE-D-18-16937;PLoS ONE;General;General Science & Technology;General Science & Technology;2;True;False;Interdependences between finger movement direction and haptic perception of oriented textures;60;46;True;True;True;All raw data of individual observers from all experiments presented is available at [10.5281/zenodo.1283274].;2018;7;True;0;0;0;0;0.0;2.0;1.0;1.0;1;plos one
28260531.0;5338099;10.1186/s13059-017-1158-6;1158;Genome Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;30;False;True;Defining the diverse spectrum of inversions, complex structural variation, and chromothripsis in the morbid human genome;115;112;True;True;True;"All patient phenotype information and biospecimens from the SSC are available by application through SFARIBase (https://sfari.org/resources/sfari-base); the specific sample accession codes that we analyzed are provided in Additional file 4. All liWGS libraries analyzed in this study are available via the National Database of Autism Research (NDAR) under the accession code: DOI: 10.15154/1336394 (https://ndar.nih.gov/study.html?id=433). All siWGS libraries are available from SFARI as detailed in their original publication [104]. The computational SV discovery pipeline for liWGS data, Holmes,is publicly available via GitHub at the following link: https://github.com/RCollins13/Holmes (DOI: 10.5281/zenodo.207803).";2017;3;True;5;5;5;5;0.0;11.0;2.033;2.0;3;genome biology
25611204.0;4303260;10.1371/journal.pcbi.1004003;PCOMPBIOL-D-14-00626;PLoS Computational Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;3;True;False;A Probabilistic Palimpsest Model of Visual Short-term Memory;80;64;True;True;True;All the source code is available on a Github public repository (DOI 10.5281/zenodo.11245) Data from the Bays et al 2009 study is available publicly on http://www.cns.nyu.edu/malab/dataandcode.html Data from the Gorgoraptis et al 2011 study may be obtained by contacting the main author Nikos Gorgoraptis at n.gorgoraptis@ucl.ac.uk;2015;1;True;0;3;4;4;0.0;11.0;4.667;3.0;1;plos computational biology
30513102.0;6279039;10.1371/journal.pone.0208387;PONE-D-17-37398;PLoS ONE;General;General Science & Technology;General Science & Technology;9;True;False;Health professionals’ experiences and views on obstetric ultrasound in Rwanda: A cross-sectional study;52;35;True;True;True;Data cannot be shared publicly because of ethical and legal restrictions. Data are available from the College of Medicine and Health Sciences (CMHS) Institutional Review Board (IRB), University of Rwanda, on behalf of the Rwandan National Ethics Committee, for researchers who meet the criteria for access to confidential data. Contact via Professor Jean Bosco Gahutu, e-mail: J.B.GAHUTU@ur.ac.rw. Data may also be requested from: http://doi.org/10.5281/zenodo.1471948.;2018;7;True;0;0;0;0;0.0;7.0;3.0;3.0;1;plos one
29216213.0;5720747;10.1371/journal.pone.0188209;PONE-D-17-21208;PLoS ONE;General;General Science & Technology;General Science & Technology;3;True;False;A multi-scale spatial model of hepatitis-B viral dynamics;49;47;True;True;True;All relevant data available form Zenodo at: http://doi.org/10.5281/zenodo.1043833.;2017;7;True;0;0;0;0;0.0;0.0;0.0;0.0;3;plos one
29240781.0;5730150;10.1371/journal.pone.0189515;PONE-D-17-35719;PLoS ONE;General;General Science & Technology;General Science & Technology;5;True;False;Comparing mail-in self-collected specimens sent via United States Postal Service versus clinic-collected specimens for the detection of Chlamydia trachomatis and Neisseria gonorrhoeae in extra-genital sites;24;19;True;True;True;All relevant data files are available from Zenodo database (DOI:10.5281/zenodo.1069568). The data can be found using the following URL: https://zenodo.org/record/1069568#.WiH8tk3mpMs.;2017;7;True;0;0;0;0;0.0;4.0;1.2;0.0;3;plos one
30114265.0;6095516;10.1371/journal.pone.0201614;PONE-D-18-09271;PLoS ONE;General;General Science & Technology;General Science & Technology;4;True;False;D-Track—A semi-automatic 3D video-tracking technique to analyse movements and routines of aquatic animals with application to captive dolphins;31;24;True;True;True;Data underlying the findings of this manuscript is presented in .csv files and available on the following open access URL: https://zenodo.org/record/1326852#.W2N0YX4koxc (compressed files with the position of both dolphins in the pool for all sessions), with the DOI: 10.5281/zenodo.1326852.;2018;7;True;0;0;0;0;0.0;3.0;1.0;0.5;3;plos one
30252915.0;6155519;10.1371/journal.pone.0204339;PONE-D-18-10591;PLoS ONE;General;General Science & Technology;General Science & Technology;5;True;False;Patient-specific seizure prediction based on heart rate variability and recurrence quantification analysis;62;42;True;True;True;All relevant data are available from Zenodo at http://doi.org/10.5281/zenodo.1324370.;2018;7;True;0;0;0;0;0.0;4.0;1.6;1.0;3;plos one
26717571.0;4696851;10.1371/journal.pone.0145572;PONE-D-15-39707;PLoS ONE;General;General Science & Technology;General Science & Technology;6;True;False;New Colors for Histology: Optimized Bivariate Color Maps Increase Perceptual Contrast in Histological Images;47;21;True;True;True;All source codes, image meta information and sample images are publicly available on GitHub (the DOIs for the source code are: 10.5281/zenodo.35083 and 10.5281/zenodo.35091) under the MIT license (http://opensource.org/licenses/MIT). All other images are publicly available on ProteinAtlas (http://www.proteinatlas.org).;2015;7;True;1;1;1;1;0.0;3.0;1.0;0.5;3;plos one
30286789.0;6172709;10.1186/s13104-018-3802-y;3802;BMC Research Notes;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;2;False;True;Empowering the detection of ChIP-seq “basic peaks” (bPeaks) in small eukaryotic genomes with a web user-interactive interface;24;10;True;True;True;"Datasets. Example datasets for bPeaks App are available in the Github repository (data folder: https://github.com/thomasdenecker/bPeaks-application/tree/v1.0.0/Data and database folder: https://github.com/thomasdenecker/bPeaks-application/tree/v1.0.0/Database). Raw sequencing data files (FASTQ files) associated to the ChIP-seq analyses of Pdr1 transcription factor (detailed in Additional file 3) in S. cerevisiae are available in SRA (https://www.ncbi.nlm.nih.gov/sra) under accession SRX1441673 and SRX1441642. Detailed information regarding the ChIPseq data processing can be found in the original bPeaks article (see 10.1002/yea.3031). Software. Project name: bPeaks Application; Project home page: https://github.com/thomasdenecker/bPeaks-application/tree/v1.0.0; Archived version: 10.5281/zenodo.1324933; Operating system(s): Windows, Mac Os X, Linux; Programming language: R, HTML, CSS, Javascript; Other requirements: Docker v18 +; License: BSD-3 License.";2018;7;True;0;0;0;0;1.0;5.0;3.0;3.0;3;bmc research notes
26889835.0;4758703;10.1371/journal.pbio.1002370;PBIOLOGY-D-15-02357;PLoS Biology;Health Sciences;Biomedical Research;Developmental Biology;8;True;False;mTORC1 in Thymic Epithelial Cells Is Critical for Thymopoiesis, T-Cell Generation, and Temporal Control of γδT17 Development and TCRγ/δ Recombination;62;62;True;True;True;All relevant data are within the paper and its Supporting Information files. All FCS files are available in the zenodo website (http://zenodo.org/record/34843 or DOI URL: http://dx.doi.org/10.5281/zenodo.34843 ).;2016;2;True;2;3;3;3;0.0;4.0;2.125;2.0;3;plos biology
29636086.0;5891941;10.1186/s13059-018-1422-4;1422;Genome Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;8;False;True;Investigation into the role of the germline epigenome in the transmission of glucocorticoid-programmed effects across generations;77;74;True;True;True;All sequencing data can be accessed through the European Nucleotide Archive, accession code PRJEB14719 [72]. CGAT code collection and CGAT pipelines are available through the respective Github repositories (https://github.com/CGATOxford/cgat and https://github.com/CGATOxford/CGATPipelines). Archive versions are available at 10.5281/zenodo.1117857 and DOI: 10.5281/zenodo.1185001, respectively. Additional bespoke pipelines for sRNA-Seq histone ChIP-Seq and eRRBS analyses are available from https://github.com/TomSmithCGAT/Trans_of_gluco_effects_pipelines (archived at DOI: 10.5281/zenodo.1184584).;2018;4;True;1;1;1;1;1.0;12.0;4.5;2.5;3;genome biology
29409441.0;5801747;10.1186/s12859-018-2049-x;2049;BMC Bioinformatics;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;6;False;True;G4PromFinder: an algorithm for predicting transcription promoters in GC-rich bacterial genomes based on AT-rich elements and G-quadruplex motifs;43;35;True;True;True;The datasets supporting the conclusions of this article are included within article (and its Additional files 1, 2, 3, and 4).Project name: G4PromFinderProject home page: https://github.com/MarcoDiSalvo90/G4PromFinderArchived version: 10.5281/zenodo.1027854Programming language: PythonLicense: GNU AGPLv3Any restrictions to use by non-academics: license needed Project name: G4PromFinder Project home page: https://github.com/MarcoDiSalvo90/G4PromFinder Archived version: 10.5281/zenodo.1027854 Programming language: Python License: GNU AGPLv3 Any restrictions to use by non-academics: license needed;2018;2;True;0;0;0;0;0.0;7.0;3.667;3.5;3;bmc bioinformatics
27142380.0;4855979;10.1186/s13059-016-0935-y;935;Genome Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;7;False;True;An evaluation of methods correcting for cell-type heterogeneity in DNA methylation studies;43;36;True;True;True;The data sets supporting the results of this article are available in the repositories: ARCTIC data are in dbGAP under accession number [phs000779.v1.p1], http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000779.v1.p1.The rheumatoid arthritis data are available under accession number [GSE42861], https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42861.Data for simulation scenarios for cell-type mixtures are available at Zenodo [10.5281/zenodo.46746], https://zenodo.org/record/46746%23.VtW8H2SAOko. ARCTIC data are in dbGAP under accession number [phs000779.v1.p1], http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000779.v1.p1. The rheumatoid arthritis data are available under accession number [GSE42861], https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42861. Data for simulation scenarios for cell-type mixtures are available at Zenodo [10.5281/zenodo.46746], https://zenodo.org/record/46746%23.VtW8H2SAOko.;2016;5;True;6;11;11;11;0.0;11.0;3.714;2.0;3;genome biology
29884221.0;5994057;10.1186/s13059-018-1455-8;1455;Genome Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;5;False;True;Tensorial blind source separation for improved analysis of multi-omic data;41;34;True;True;True;"All data analysed here have already appeared in previous publications or are publicly available. The Illumina 450k DNAm buccal and whole blood dataset from the National Survey of Health and Development, as published in [2], is available by submitting data requests to https://mrclha.swiftinfucl.ac.uk; see the full policy at http://www.nshd.mrc.ac.uk/data.aspx. Managed access is in place for this 69-year-old study to ensure that any use of the data is within the bounds of consent given previously by participants and to safeguard any potential threat to anonymity, since the participants were all born in the same week [2]. The multi-blood-cell subtype Illumina 450k EWAS is available from the European Genome-phenome Archive with the accession code EGAS00001001598 (https://www.ebi.ac.uk/ega/studies/EGAS00001001598) [3]. All TCGA data analysed here were downloaded and are publicly available from the TCGA data portal website (https://portal.gdc.cancer.gov/). The Aries mQTL database is available from http://www.mqtldb.org[25]. All software is available from the corresponding R packages as described in ‘Methods’, and their specific implementations as used in this manuscript are available in Additional file 2 as well as from GitHub (https://github.com/jinghan1018/tensor_decomp) and Zenodo (https://zenodo.org/record/1208040or 10.5281/zenodo.1208040) [41]. The tICA algorithms, as implemented here, are available under a GNU General Public License version 3.";2018;6;True;0;0;0;0;0.0;13.0;4.0;0.0;1;genome biology
27597880.0;5011349;10.1186/s13040-016-0106-4;106;BioData Mining;;;;6;False;True;Functional networks inference from rule-based machine learning models;69;57;True;True;True;The datasets used for the analysis were derived from the following public domain resources: Dlbcl http://ico2s.org/datasets/microarray.html CNS http://datam.i2r.a-star.edu.sg/datasets/krbd/NervousSystem/NervousSystem.html Leukemia http://datam.i2r.a-star.edu.sg/datasets/krbd/Leukemia/ALLAML.html Lung-Michigan http://datam.i2r.a-star.edu.sg/datasets/krbd/LungCancer/LungCancer-Michigan.html Lung-Harvard http://datam.i2r.a-star.edu.sg/datasets/krbd/LungCancer/LungCancer-Harvard2.html Prostate http://datam.i2r.a-star.edu.sg/datasets/krbd/ProstateCancer/ProstateCancer.html AML http://www.biolab.si/supp/bi-cancer/projections/info/AMLGSE2191.htm Colon-Breast http://www.biolab.si/supp/bi-cancer/projections/info/BC_%7BC%7DCGSE3726_%7Bf%7Drozen.htm The FuNeL software is publicly available: Project name: FuNeL Project home page: http://ico2s.org/software/funel.html Archived version: 10.5281/zenodo.49297 Operating system(s): GNU/Linux Programming language: Python, R License: GPLv3 Project name: FuNeL Project home page: http://ico2s.org/software/funel.html Archived version: 10.5281/zenodo.49297 Operating system(s): GNU/Linux Programming language: Python, R License: GPLv3;2016;7;True;1;2;2;2;0.0;7.0;2.333;2.0;3;biodata mining
30388153.0;6214550;10.1371/journal.pone.0206634;PONE-D-18-18740;PLoS ONE;General;General Science & Technology;General Science & Technology;3;True;False;Predicting bacterial growth conditions from mRNA and protein abundances;73;68;True;True;True;All statistical analyses were performed in R. All processed data and analysis scripts are available on GitHub: https://github.com/umutcaglar/ecoli_multiple_growth_conditions (permanent archived version available via zenodo: 10.5281/zenodo.1294110). mRNA and protein abundances have been previously published [35,36]. Raw Illumina read data and processed files of read counts per gene are available from the NCBI GEO database [72] (accession numbers GSE67402 and GSE94117). Mass spectrometry proteomics data are available via PRIDE [73] (accession numbers PXD002140 and PXD005721).;2018;7;True;0;0;0;0;0.0;5.0;2.333;2.0;3;plos one
29547668.0;5856406;10.1371/journal.pone.0194384;PONE-D-17-35533;PLoS ONE;General;General Science & Technology;General Science & Technology;2;True;False;Three-dimensional flow structures past a bio-prosthetic valve in an in-vitro model of the aortic root;37;20;True;True;True;All relevant data are published in an open-access depository (See https://doi.org/10.5281/zenodo.1163562).;2018;3;True;0;0;0;0;0.0;1.0;0.5;0.5;3;plos one
26731653.0;4711718;10.1371/journal.pone.0146060;PONE-D-15-31860;PLoS ONE;General;General Science & Technology;General Science & Technology;4;True;False;Automatic Synthesis of Anthropomorphic Pulmonary CT Phantoms;45;23;True;True;True;CT cases used in this work are part of COPDGene study and can be obtained through dbGap (http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000179.v4.p2). The whole dataset of anthropomorphic pulmonary CT phantoms (24 synthetic cases) is available via Zenodo at http://dx.doi.org/10.5281/zenodo.20766 (NRRD format) and http://dx.doi.org/10.5281/zenodo.32740 (DICOM format).;2016;1;True;0;0;0;0;0.0;1.0;0.5;0.5;3;plos one
28362805.0;5391972;10.1371/journal.pcbi.1005453;PCOMPBIOL-D-16-01034;PLoS Computational Biology;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;2;True;False;Effects of contact structure on the transient evolution of HIV virulence;34;23;True;True;True;"There are no primary data in the paper; all materials are available at https://github.com/bbolker/HIV_LHS/ and we have archived our code on Zenodo (DOI: 10.5281/zenodo.437497).";2017;3;True;0;0;0;0;2.0;2.0;2.0;2.0;3;plos computational biology
29969991.0;6042521;10.1186/s12864-018-4869-5;4869;BMC Genomics;Applied Sciences;Enabling & Strategic Technologies;Bioinformatics;5;False;True;Limitations of alignment-free tools in total RNA-seq quantification;36;33;True;True;True;All scripts used for data processing are deposited on GitHub at: https://github.com/wckdouglas/tgirt_benchmark, and archived at Zenodo (10.5281/zenodo.1239242). Raw RNA-seq dataset can be accessed through NCBI Sequence Read Archive, accession number SRP066009.;2018;7;True;0;0;0;0;0.0;8.0;4.2;4.0;3;bmc genomics
27938349.0;5148863;10.1186/s12871-016-0287-x;287;BMC Anesthesiology;Health Sciences;Clinical Medicine;Anesthesiology;11;False;True;Clinical usefulness of capnographic monitoring when inserting a feeding tube in critically ill patients: retrospective cohort study;21;21;True;True;True;As for the data availability, our data can be available on the Zenodo database (https://zenodo.org/record/44406#.Vo3qeWDNuUk) as recommended repositories of BMC Anesthesiology.;2016;7;True;0;0;0;0;0.0;4.0;2.0909999999999997;2.0;1;bmc anesthesiology
30383797.0;6211825;10.1371/journal.pone.0206516;PONE-D-18-18593;PLoS ONE;General;General Science & Technology;General Science & Technology;10;True;False;A brief online transdiagnostic measure: Psychometric properties of the Overall Anxiety Severity and Impairment Scale (OASIS) among Spanish patients with emotional disorders;68;41;True;True;True;The data underlying this study have been uploaded to Zenodo and are accessible using the following DOI: https://doi.org/10.5281/zenodo.1295642.;2018;7;True;0;0;0;0;0.0;7.0;1.8;1.5;3;plos one
26154165.0;4495984;10.1371/journal.pone.0127612;PONE-D-14-54465;PLoS ONE;General;General Science & Technology;General Science & Technology;14;True;False;From Peer-Reviewed to Peer-Reproduced in Scholarly Publishing: The Complementary Roles of Data Models and Workflows in Bioinformatics;86;49;True;True;True;All data are available from github (http://isa-tools.github.io/soapdenovo2/), github code repository (https://github.com/ISA-tools/soapdenovo2), github/zenodo (http://dx.doi.org/10.5281/zenodo.18403), and GigaScience’s GigaDB (http://dx.doi.org/10.5524/100148).;2015;7;True;3;3;3;3;0.0;9.0;4.2139999999999995;4.0;3;plos one
29116006.0;5678599;10.1186/s13071-017-2501-1;2501;Parasites & Vectors;Health Sciences;Biomedical Research;Mycology & Parasitology;6;False;True;Analysis of near infrared spectra for age-grading of wild populations of Anopheles gambiae;71;44;True;True;True;The datasets (including raw data files), and scripts supporting the conclusions of this article are available in a zenodo repository at https://zenodo.org/record/851874.;2017;7;True;1;1;1;1;2.0;8.0;3.833;3.5;3;parasites & vectors
